"Status","Name","Duration in ms","Description"
"passed","runTest.PageObjectTest.searchSeleniumInSearchFieldAndGetResultCount","5878",""
"passed","runTest.PageObjectTest.checkPricesOfProductsOnPricingPage","7096",""
